spi1,prob1,proj_score1,importance1,score1,xg1,nsxg1
51.77,0.4897,1.54,43.2,2.0,1.24,0.97
84.0,0.8256,2.47,41.6,1.0,1.9,1.91
42.69,0.2807,1.2,9.4,0.0,0.81,1.66
57.12,0.5341,1.45,24.4,1.0,2.72,1.01
90.14,0.5895,2.03,100.0,4.0,1.97,1.23
67.01,0.2869,1.06,54.0,0.0,1.0,0.44
67.53,0.4518,1.39,9.2,1.0,0.96,1.0
36.5,0.3869,1.43,18.7,3.0,1.17,1.59
78.92,0.8061,2.52,66.1,2.0,2.79,2.88
80.57,0.4599,1.8,40.9,1.0,1.49,2.88
61.47,0.4732,1.54,0.0,1.0,0.47,1.35
67.72,0.8112,2.48,92.1,6.0,2.27,1.49
69.63,0.2583,1.26,36.4,0.0,0.7,0.71
51.87,0.5337,1.68,67.5,1.0,0.96,1.38
42.08,0.3023,1.19,6.0,1.0,0.99,1.68
66.7,0.2828,1.52,25.7,2.0,0.91,1.2
36.93,0.4474,1.34,17.0,1.0,1.33,1.94
25.07,0.3668,1.45,2.6,2.0,2.96,1.3
64.84,0.5689,1.78,28.6,1.0,2.07,2.2
42.75,0.5986,1.81,17.2,3.0,4.07,3.77
51.14,0.3832,1.19,100.0,2.0,1.98,1.12
30.74,0.4655,1.48,55.9,2.0,2.19,1.03
86.56,0.7579,2.67,13.1,2.0,3.29,3.22
42.58,0.4993,1.42,6.6,3.0,1.98,1.74
55.41,0.1546,1.01,34.9,1.0,0.45,0.75
68.63,0.35100000000000003,1.55,65.3,1.0,0.67,1.64
52.7,0.4501,1.3,0.0,0.0,1.16,0.78
42.97,0.3203,1.21,40.6,1.0,1.32,0.63
50.14,0.4346,1.52,9.0,1.0,1.89,1.54
58.49,0.4509,1.43,16.1,2.0,2.7,2.13
44.61,0.5023,1.55,28.0,2.0,1.5,1.79
50.15,0.4871,1.58,0.7,3.0,3.43,1.78
38.72,0.4066,1.35,49.0,2.0,1.02,0.8
61.07,0.655,2.12,75.9,3.0,1.58,1.01
67.85,0.4994,1.62,42.6,3.0,2.25,1.48
54.74,0.3455,1.42,29.6,1.0,1.02,1.5
93.51,0.8517,3.11,74.7,2.0,3.91,2.73
56.01,0.6084,1.54,1.6,0.0,1.16,1.2
24.85,0.261,0.98,11.1,2.0,1.43,1.01
72.64,0.5846,1.64,100.0,2.0,1.57,0.94
85.7,0.6932,1.88,68.7,1.0,1.06,1.18
64.11,0.6857,1.9,29.5,4.0,2.22,1.11
77.05,0.6347,2.34,90.5,4.0,2.44,1.79
46.5,0.3893,1.43,0.1,1.0,0.99,1.66
29.05,0.4808,1.78,18.3,0.0,0.54,0.82
57.64,0.4528,1.41,37.5,1.0,1.08,1.01
74.28,0.4285,1.42,34.6,1.0,1.22,1.4
63.47,0.17300000000000001,1.07,3.5,0.0,0.31,0.99
85.39,0.8194,2.16,100.0,4.0,2.63,1.22
59.26,0.5782,1.66,19.3,3.0,2.77,0.93
42.5,0.40399999999999997,1.25,22.7,2.0,0.94,1.66
84.32,0.8182,2.71,76.5,5.0,3.06,1.69
43.05,0.6692,1.9,92.2,1.0,1.37,2.56
42.3,0.2401,1.25,44.1,1.0,0.59,1.59
65.89,0.4898,1.62,48.0,0.0,1.59,0.68
57.12,0.3606,1.09,5.4,0.0,0.91,0.69
52.97,0.0854,0.76,68.4,0.0,0.25,0.47
39.34,0.4229,1.34,12.3,2.0,1.63,1.36
65.99,0.5677,1.42,30.6,2.0,1.15,1.09
49.41,0.303,1.06,100.0,1.0,0.48,0.66
79.5,0.7304,2.34,26.6,4.0,1.08,2.11
33.68,0.5201,1.84,23.6,2.0,1.67,0.47
48.64,0.32799999999999996,1.34,100.0,1.0,0.64,1.36
31.57,0.4462,1.39,0.0,2.0,2.1,0.96
34.52,0.35600000000000004,1.2,13.0,0.0,0.57,1.38
40.9,0.3697,1.06,0.0,0.0,1.06,1.64
54.03,0.4191,1.26,44.8,1.0,1.25,0.97
39.76,0.4658,1.72,16.8,1.0,0.82,1.35
66.67,0.4831,1.48,52.3,1.0,1.38,1.99
59.36,0.2935,1.08,31.6,2.0,1.49,0.95
64.5,0.4271,1.43,40.5,5.0,2.29,1.19
71.28,0.2928,1.17,21.6,0.0,0.53,0.72
40.14,0.6429,2.15,17.3,0.0,0.49,0.83
46.85,0.4756,1.58,30.0,1.0,0.73,1.09
48.43,0.4227,1.37,4.2,1.0,0.94,0.75
74.91,0.6507,1.98,58.6,1.0,1.08,1.63
59.17,0.5146,1.51,32.5,1.0,1.37,0.64
79.84,0.37,1.32,0.0,4.0,1.68,1.65
53.52,0.4766,1.55,7.1,4.0,2.1,1.41
56.59,0.2255,1.03,36.5,1.0,1.13,0.6
44.96,0.5198,1.93,59.1,2.0,1.54,1.33
49.25,0.5911,2.06,15.7,2.0,0.89,0.98
50.27,0.6431,1.84,14.9,2.0,1.42,0.64
36.59,0.1901,1.08,0.5,2.0,0.33,0.48
81.37,0.4881,1.78,35.9,1.0,2.04,1.75
75.82,0.5959,2.03,46.7,3.0,2.7,2.45
51.26,0.6362,2.27,83.5,2.0,2.79,1.4
45.58,0.4169,1.52,24.1,2.0,1.0,0.93
32.97,0.4409,1.47,22.1,2.0,1.89,1.83
58.2,0.4472,1.39,7.2,3.0,1.69,1.15
31.77,0.2989,1.08,0.2,3.0,1.71,0.98
61.2,0.4045,1.23,4.6,2.0,0.73,1.11
93.87,0.9109,3.07,69.6,4.0,2.52,2.53
36.91,0.4577,1.48,100.0,1.0,1.09,1.3
55.73,0.3834,1.17,29.6,1.0,0.37,0.39
63.39,0.5025,1.5,1.4,2.0,1.81,1.07
47.25,0.3257,1.17,40.2,3.0,1.17,0.85
75.06,0.6253,1.83,5.9,3.0,1.6,1.11
26.2,0.3629,1.22,23.4,1.0,1.84,2.94
38.32,0.4314,1.57,7.3,4.0,1.54,1.55
29.22,0.4261,1.34,33.8,2.0,0.78,0.69
75.18,0.5294,1.67,23.0,1.0,1.55,1.57
59.22,0.3384,1.42,10.9,1.0,0.49,1.03
36.96,0.4225,1.41,60.3,1.0,0.78,0.7
42.76,0.4075,1.09,0.0,2.0,1.97,1.67
48.38,0.6086,1.69,29.6,1.0,1.68,0.93
66.45,0.4896,1.58,2.9,2.0,0.9,1.36
45.24,0.3944,1.1,53.1,1.0,0.97,0.93
74.36,0.7066,2.3,0.0,1.0,1.49,3.02
43.25,0.3963,1.48,32.0,0.0,1.5,0.96
56.02,0.2072,0.96,41.3,2.0,1.02,0.54
79.4,0.609,1.96,40.2,0.0,1.52,1.61
38.49,0.4473,1.26,0.8,4.0,0.98,0.72
64.16,0.4466,1.73,35.6,2.0,2.06,1.48
34.7,0.2567,1.17,30.5,3.0,0.86,1.64
71.13,0.447,1.21,55.4,2.0,1.29,1.11
44.55,0.495,1.54,26.4,1.0,0.46,0.75
52.53,0.5702,1.8,8.4,2.0,2.29,1.87
74.26,0.3588,1.49,73.1,2.0,2.25,1.25
41.81,0.4022,1.71,19.4,0.0,0.71,1.78
70.79,0.5273,1.37,48.3,1.0,0.77,0.86
44.82,0.4851,1.46,20.6,1.0,0.65,0.51
48.72,0.4461,1.25,1.5,2.0,1.49,0.93
50.95,0.6529,1.59,16.8,4.0,1.58,1.28
73.29,0.7802,2.33,78.0,3.0,1.32,2.02
40.09,0.4969,1.76,60.3,2.0,1.16,0.77
35.52,0.4126,1.5,100.0,2.0,1.88,1.48
69.54,0.5178,1.7,27.6,1.0,0.58,1.26
64.77,0.4388,1.69,5.7,2.0,1.22,0.93
73.25,0.5255,1.41,0.0,1.0,2.23,0.76
59.21,0.5961,2.04,43.5,7.0,4.3,1.43
42.7,0.5005,1.47,35.1,2.0,2.28,1.2
23.88,0.3574,1.36,0.0,0.0,0.85,1.09
87.25,0.4357,1.26,0.3,3.0,1.93,1.47
58.9,0.1214,0.85,5.7,1.0,1.82,0.65
51.33,0.6009,1.78,38.0,3.0,3.06,2.44
39.32,0.4356,1.6,16.4,0.0,1.19,1.67
87.26,0.7411,2.5,6.7,3.0,4.35,3.81
93.03,0.9199,3.4,67.8,1.0,3.01,2.88
68.65,0.5922,1.68,54.5,3.0,1.53,1.82
65.45,0.5367,1.8,5.1,0.0,0.73,1.19
60.24,0.4635,1.57,33.2,1.0,0.44,0.6
38.6,0.3683,1.32,0.8,3.0,1.28,1.14
60.54,0.4735,1.46,9.6,1.0,0.42,1.26
59.49,0.2006,1.04,29.9,1.0,0.55,0.91
46.94,0.3079,1.19,29.5,0.0,0.69,1.79
36.06,0.0925,0.68,34.5,0.0,0.1,0.2
76.13,0.5068,1.59,91.2,2.0,2.35,1.63
71.09,0.6657,2.04,63.9,2.0,1.47,1.3
51.56,0.4699,1.38,11.7,3.0,1.7,1.07
71.97,0.7685,2.44,7.1,1.0,3.27,1.66
59.85,0.7444,2.22,91.6,4.0,2.54,1.59
42.12,0.5343,1.59,57.3,2.0,1.79,1.04
41.31,0.4656,1.44,26.7,1.0,0.92,1.02
65.28,0.0741,0.88,0.4,0.0,0.0,0.22
53.32,0.4314,1.37,43.1,2.0,1.66,1.14
47.88,0.5015,1.61,10.0,1.0,1.82,1.63
77.53,0.4839,1.9,89.0,0.0,0.89,0.99
71.63,0.6513,1.99,80.0,4.0,2.31,2.05
62.21,0.6592,1.8,6.5,3.0,1.68,2.61
43.14,0.3002,1.22,46.4,3.0,2.06,1.51
52.87,0.3766,1.33,50.8,0.0,0.32,0.68
41.94,0.4311,1.28,7.8,3.0,3.0,1.6
49.82,0.3806,1.37,48.1,1.0,1.23,1.32
46.81,0.3628,1.12,0.0,1.0,1.44,1.34
31.48,0.3285,1.14,58.4,2.0,2.47,2.14
78.65,0.7961,2.45,100.0,1.0,2.37,2.74
45.6,0.4292,1.35,13.4,0.0,1.34,0.97
57.36,0.5704,1.31,8.8,2.0,1.0,0.98
53.48,0.5188,1.46,29.1,1.0,1.17,0.9
17.86,0.3064,1.27,46.1,1.0,1.47,1.17
52.33,0.5404,1.52,20.0,1.0,0.88,0.84
28.34,0.1908,0.8,55.0,0.0,0.94,0.95
43.72,0.3707,1.3,32.4,1.0,1.86,1.09
60.06,0.5189,1.21,0.1,0.0,2.72,1.49
33.84,0.4504,1.51,33.0,4.0,2.52,1.03
57.81,0.2513,1.21,5.7,1.0,1.4,1.21
53.33,0.4911,1.43,28.5,3.0,1.61,2.22
64.22,0.7502,2.12,36.1,2.0,1.63,1.65
68.41,0.22,1.07,40.9,2.0,2.24,1.41
35.96,0.4642,1.31,40.0,2.0,1.45,1.6
52.06,0.5204,1.63,27.7,1.0,1.96,2.01
94.25,0.8767,2.37,72.6,1.0,2.45,3.27
72.61,0.4467,1.42,100.0,3.0,1.38,1.08
68.37,0.6327,1.96,14.4,0.0,0.71,1.6
67.17,0.4507,1.63,38.0,1.0,2.22,3.55
39.36,0.3033,1.22,57.7,1.0,1.36,1.04
92.54,0.9103,2.58,22.5,8.0,3.59,2.68
92.64,0.7963,2.87,40.6,5.0,3.77,2.67
96.46,0.9775,4.03,100.0,1.0,1.98,2.96
